taxonId,species name,year,month,latitude,longitude
58505,Polites origenes,2017,9,40.3734690873,-79.387854784
58505,Polites origenes,2017,9,39.3154149,-76.8752726
58505,Polites origenes,2007,9,40.24904,-79.849003
