taxonID,scientificName
257783,Sostrata nordica
293859,Aides dysoni
228491,Polites baracoa
213333,Amblyscirtes carolina
130662,Librita librita
148791,Phocides urania
148526,Carrhenes canescens
226070,Oarisma edwardsii
219497,Erynnis meridianus
199938,Paches loxus
257631,Anastrus sempiternus
257715,Epargyreus clavicornis
146611,Erynnis telemachus
221226,Hesperia viridis
225459,Nastra neamathla
257633,Anisochoria bacchus
148860,Panoquina evansi
258670,Argon lota
217283,Codatractus arizonensis
221227,Hesperia woodgatei
127302,Hesperia metea
221259,Hesperopsis libya
257577,Synapte shiva
257499,Lycas argentea
213340,Amblyscirtes nereus
214596,Atrytonopsis loammi
257749,Ocyba calathana
148539,Urbanus esmeraldus
257683,Codatractus alcaeus
257516,Neoxeniades luda
335110,Monca tyrtaeus
321587,Chioides catillus
257771,Pythonides jovianus
148523,Antigonus nearchus
293912,Urbanus belli
228493,Polites draco
293898,Bolla litus
257798,Typhedanus undulatus
257606,Zariaspes mys
257651,Bolla cupreiceps
257562,Remella vopiscus
204690,Atrytonopsis deva
228154,Piruna aea
221221,Hesperia attalus
148832,Mylon maimon
148815,Aguna claxon
148798,Zestusa dorus
203826,Megathymus ursus
219784,Euphyes pilatka
219781,Euphyes arpa
148532,Polyctor enops
224543,Megathymus streckeri
130666,Quasimellana aurora
257513,Mucia zygia
148530,Noctuana stator
148782,Callimormus saturnus
221224,Hesperia pahaska
213345,Amblyscirtes texanae
366191,Mysoria barcastus
257820,Jemadia pseudognetus
148613,Ouleus salvina
293376,Piruna brunnea
132201,Autochton longipennis
148707,Callimormus juventus
257592,Vacerra gayra
148812,Antigonus corrosus
257679,Chiomara mithrax
212511,Adopaeoides prittwitzi
257753,Pachyneuria licisca
257810,Zera hyacinthinus
257822,Myscelus assaricus
257865,Vehilius stictomenes
257625,Aethilla lavochrea
148710,Poanes monticola
349726,Milanion clito
257720,Epargyreus windi
257725,Gorgythion vox
257744,Nisoniades ephora
148855,Phanes aletes
480666,Phanes almoda
429276,Panoquina sylvicola
257791,Telemiades fides
293902,Carrhenes fuscescens
257708,Ebrietas evanidus
257762,Polygonus savigny
148771,Vacerra litana
117371,Thorybes diversus
213335,Amblyscirtes elissa
212709,Agathymus aryxna
256363,Dalla ramirezi
257699,Doberes anticus
256369,Piruna gyrans
148867,Remella remus
130294,Stinga morrisoni
204855,Amblyscirtes alternata
293871,Halotus rica
148783,Ebrietas anacreon
257639,Astraptes brevicauda
257448,Amblyscirtes fluonia
257785,Staphylus iguala
256367,Piruna cyclosticta
148616,Pheraeus covadonga
257433,Dalla lalage
257564,Rhinthon osca
228492,Polites carus
293881,Saliana longirostris
119150,Oarisma poweshiek
68263,Papilio multicaudata
58523,Papilio polyxenes
57463,Papilio canadensis
60551,Papilio glaucus
51097,Papilio zelicaon
49972,Battus philenor
58525,Papilio troilus
68232,Papilio palamedes
85026,Papilio thoas
50072,Papilio cresphontes
226950,Papilio appalachiensis
509480,Papilio garamas
47226,Papilio rutulus
55521,Papilio eurymedon
509627,Papilio rumiko
83086,Eurytides marcellus
68265,Papilio indra
68239,Parnassius clodius
68275,Battus polydamas
148466,Eurytides philolaus
148751,Papilio pilumnus
245945,Papilio astyalus
56529,Papilio machaon
258200,Protographium epidaus
68279,Parnassius smintheus
509631,Papilio rogeri
475232,Protesilaus protesilaus
148837,Papilio ornythion
205140,Papilio anchisiades
258146,Mimoides thymbraeus
509626,Papilio torquatus
146840,Papilio victorinus
133450,Parides photinus
257945,Battus laodamas
258176,Parides alopius
148464,Parides montezuma
145586,Papilio xuthus
204773,Papilio erostratus
154436,Papilio brevicauda
258197,Protographium agesilaus
509478,Papilio abderus
258353,Battus ingenuus
148356,Parides erithalion
148465,Eurytides epidaus
258178,Parides iphidamas
258145,Mimoides ilus
226951,Papilio aristodemus
205905,Eurytides thyastes
68281,Parnassius behrii
354946,Papilio androgeus
509629,Papilio pallas
227264,Parnassius phoebus
85024,Heraclides cresphontes
81726,Parnassius eversmanni
148858,Mimoides phaon
81724,Baronia brevicornis
258067,Eurytides salvini
198801,Pieris virginiensis
58532,Colias eurytheme
59119,Pontia protodice
198800,Colias interior
67653,Phoebis agarithe
58531,Colias philodice
59120,Euchloe ausonides
55626,Pieris rapae
48550,Phoebis sennae
204775,Kricogonia lyside
148470,Eurema boisduvaliana
144187,Pyrisitia proterpia
129362,Zerene cesonia
51536,Ascia monuste
148672,Itaballia demophile
148488,Dismorphia amphione
81727,Abaeis nicippe
148818,Ganyra josephina
67324,Eurema daira
59124,Anthocharis sara
51773,Nathalis iole
258189,Pieriballia viardi
198821,Pieris oleracea
122172,Pyrisitia lisa
59118,Pontia sisymbrii
209721,Colias alexandra
82481,Pieris marginalis
204096,Pontia beckerii
81734,Neophasia menapia
117317,Zerene eurydice
293998,Lieinix nemesis
199298,Anthocharis cethura
62500,Leptophobia aripa
48578,Anteos maerula
122374,Eurema mexicana
228118,Pieris angelika
294011,Prestonia clarki
133417,Catasticta teutila
209718,Pontia occidentalis
225692,Neophasia terlooii
117338,Anthocharis lanceolata
148856,Anteos clorinde
130661,Catasticta nimbice
69852,Euchloe hyantis
148475,Eurema salome
69844,Anthocharis midea
117316,Colias behrii
217392,Colias gigantea
122377,Pyrisitia nise
213959,Aphrissa statira
258187,Perrhybris pamela
81732,Glutophrissa drusilla
133416,Phoebis philea
148463,Phoebis argante
229681,Pyrisitia dina
258215,Rhabdodryas trite
199461,Melete lycimnia
199292,Colias harfordii
217395,Colias nastes
217391,Colias christina
148487,Enantia jethys
58527,Euchloe olympia
258672,Catasticta flisa
258185,Pereute charops
132331,Phoebis neocypris
217396,Colias palaeno
217398,Colias scudderii
293980,Enantia mazai
293982,Eucheira socialis
257925,Anthocharis limonea
116699,Eurema albula
142775,Colias meadii
258363,Ganyra howarthi
246087,Hesperocharis graphites
209719,Euchloe lotta
148468,Hesperocharis costaricensis
258065,Eurema xantochlora
256372,Ganyra phaloe
58539,Satyrium calanus
54009,Lycaena heteronea
520407,Icaricia shasta
59126,Lycaena gorgon
210423,Callophrys viridis
122381,Cupido comyntas
82792,Celastrina neglecta
84662,Celastrina lucia
59159,Euphilotes bernardino
52484,Celastrina echo
58556,Celastrina ladon
122382,Cupido amyntula
122385,Callophrys johnsoni
198817,Callophrys irus
122281,Calycopis cecrops
132553,Strymon istapa
362136,Electrostrymon guzanta
69940,Hemiargus ceraunus
520456,Icaricia acmon
56776,Glaucopsyche lygdamus
346970,Callophrys dumetorum
53843,Brephidium exilis
50931,Strymon melinus
54024,Satyrium californica
59134,Satyrium sylvinus
118914,Echinargus isola
58543,Callophrys augustinus
59138,Satyrium saepium
58534,Lycaena hyllus
55655,Lycaena phlaeas
59152,Leptotes marina
148834,Strymon cestri
81967,Callophrys eryphon
215772,Callophrys polios
148801,Ministrymon clytie
84239,Callophrys gryneus
54081,Erora laeta
144271,Satyrium kingi
81566,Satyrium edwardsii
81729,Feniseca tarquinius
50075,Eumaeus atala
58550,Callophrys niphon
59128,Atlides halesus
484122,Plebejus samuelis
122383,Plebejus melissa
117335,Lycaena mariposa
520457,Icaricia icarioides
59136,Satyrium tetra
59144,Callophrys spinetorum
127303,Callophrys henrici
127490,Parrhasius m-album
294015,Strymon albata
117336,Lycaena rubidus
59123,Lycaena arota
69824,Habrodais grunus
225163,Ministrymon leda
51534,Leptotes cassius
117346,Glaucopsyche piasus
258230,Strymon bebrycia
293954,Atlides gaumeri
